[0] 3:20	[music]
[1] 5:41	>> Hello and welcome to this our 266th live
[2] 5:44	stream.
[3] 5:46	Three major questions.
[4] 5:48	Uh this is of course a
[5] 5:50	uh homage to our Monday video, which was
[6] 5:54	three major military conflicts of the
[7] 5:56	18th Dynasty. And if you want to learn
[8] 5:59	about those,
[9] 6:00	please go back and watch our Monday
[10] 6:02	video after the live stream's over.
[11] 6:04	Okay, we don't have a lot in the way of
[12] 6:05	channel business tonight, so let's just
[13] 6:07	get right to it.
[14] 6:09	Uh probably the big thing on our radar
[15] 6:11	right now is our book launch.
[16] 6:14	Uh Lord of Steel and Sky is launching in
[17] 6:16	3 weeks. So, if you wanted the chance to
[18] 6:20	get a copy when it comes out, now is the
[19] 6:22	time to to to buy it at Amazon and other
[20] 6:26	book retailers. So, uh if you do buy
[21] 6:30	this and you read it,
[22] 6:31	please leave a review cuz reviews really
[23] 6:33	help us.
[24] 6:36	Okay. So, um and after
[25] 6:39	uh the book launches, 1 month later we
[26] 6:41	will do our special live stream
[27] 6:44	where we'll talk about the book. I'll
[28] 6:46	basically dump all spill all the tea.
[29] 6:49	Cuz there's always tea with my novels.
[30] 6:52	So, it'll be your chance to to come on
[31] 6:54	to the live stream, talk to me directly,
[32] 6:57	and we can discuss um
[33] 6:59	things such as who did what when, who's
[34] 7:02	in the book, who isn't in the book, all
[35] 7:04	of that good stuff.
[36] 7:06	That will be will be 1 month after the
[37] 7:09	the launch date. The launch date is July
[38] 7:11	15th.
[39] 7:13	And it will be on a Wednesday, not a
[40] 7:15	Friday. So,
[41] 7:18	uh
[42] 7:20	So, with that said,
[43] 7:22	we're going to get into the rules and
[44] 7:24	the questions.
[45] 7:27	Okay.
[46] 7:29	Uh
[47] 7:30	super chats have priority. That's no
[48] 7:32	surprise to anybody.
[49] 7:34	Uh if you want to put in a non-super
[50] 7:36	chat question, and we do take non-super
[51] 7:37	chat questions, you have to put a Q and
[52] 7:39	a colon in front of it. No Q, no colon,
[53] 7:42	may does not exist.
[54] 7:44	If you post a non-super chat question,
[55] 7:46	only post it once.
[56] 7:48	If you repost it with different wording
[57] 7:51	or duplicate it, it'll be disqualified
[58] 7:53	for the night. Even closely worded
[59] 7:56	questions will make it disqualified.
[60] 8:00	Uh if you do post a non-super chat, we
[61] 8:02	don't guarantee we take it. That's just
[62] 8:04	sort of the rules.
[63] 8:07	Uh if it's something from the Bible, we
[64] 8:09	ask that you give us context. So, what
[65] 8:11	book it's from, what chapter and what
[66] 8:12	verse. That helps us to narrow down the
[67] 8:14	question.
[68] 8:16	Also,
[69] 8:17	um we do allow people to sponsor super
[70] 8:20	chats, but we ask that you copy the
[71] 8:21	question that you sponsor into the super
[72] 8:23	chat so it's easier for us to find. Just
[73] 8:25	make saves us a lot of time.
[74] 8:28	And finally, one question per chat
[75] 8:30	because that's just fair.
[76] 8:32	So, with that said,
[77] 8:34	let's get into the questions.
[78] 8:39	All righty. Turn that one off.
[79] 8:43	Here.
[80] 8:44	And we will go to our first question of
[81] 8:47	the night.
[82] 8:52	And our first question of the night is
[83] 8:54	from Daniel Hogan,
[84] 8:56	who asks, "Genesis 39,
[85] 8:59	in the ancient Egyptian context, what
[86] 9:01	was the relative social status of
[87] 9:03	Potiphar's wife regarding Joseph?
[88] 9:06	What rights and powers did she have as
[89] 9:08	the lady of the house?"
[90] 9:11	Her social status wouldn't have just
[91] 9:13	been as lady of the house.
[92] 9:16	It would have been as wife of captain of
[93] 9:18	the guard.
[94] 9:20	Someone who is relatively high in the
[95] 9:22	military.
