[0] 3:03	Heat.
[1] 3:16	Hey, Heat.
[2] 5:59	Hello and welcome to this our 256th live
[3] 6:02	stream. 18,000
[4] 6:06	well- read, intelligent, good-looking
[5] 6:08	subs
[6] 6:10	because you have to have been
[7] 6:12	good-looking to be part of our community
[8] 6:14	here. So,
[9] 6:18	we want to welcome you to uh today's
[10] 6:20	live stream where we take your questions
[11] 6:22	on ancient Egypt in the Bible. And as
[12] 6:25	far as channel business goes, uh we have
[13] 6:27	got now I'm hungry.
[14] 6:31	You see, it's just as soon as we go on
[15] 6:33	the air, people start thinking food.
[16] 6:42	So, we want to do uh the book we're
[17] 6:44	going to pitch this week is we are going
[18] 6:46	to pitch the Ark of the Covenant in its
[19] 6:48	Egyptian context. This is our book on uh
[20] 6:53	the origins of the Ark of the Covenant
[21] 6:56	and it's beautifully illustrated. So if
[22] 7:00	you have not picked this up already, you
[23] 7:02	know, please do so. It is full of
[24] 7:04	pictures. So even if you don't go for
[25] 7:07	the uh scholarship in it, which it has
[26] 7:09	plenty of, there's lots and lots of
[27] 7:11	pictures. So again, the Ark of the
[28] 7:14	Covenant in its Egyptian context, an
[29] 7:16	illustrated journey. Uh the other thing
[30] 7:18	is that we are going to be calling it
[31] 7:20	quits at 12 uh:00 sharp tonight,
[32] 7:23	midnight sharp, and that's because
[33] 7:26	tomorrow I have my exams for
[34] 7:29	certification. Now, I haven't told you
[35] 7:32	what that certification is. And if you
[36] 7:34	want to guess, do put uh put guesses in
[37] 7:37	the chat cuz
[38] 7:40	cuz guessing is always fun. So, if
[39] 7:42	you're going to guess what my uh my
[40] 7:44	certification is going to be in, and we
[41] 7:46	will announce it next week what I got it
[42] 7:48	in. Uh that's if I got it, and if I
[43] 7:52	don't, I'm just going to do the walk of
[44] 7:53	shame.
[45] 8:00	CPM versus DOSS. It could be anything
[46] 8:04	with you.
[47] 8:07	Yes, it could be. And that's what makes
[48] 8:09	it interesting, doesn't it?
[49] 8:12	It could be absolutely anything,
