[0] 1:26	Heat. Heat.
[1] 5:32	Hello and welcome to this our 245th
[2] 5:36	live Dream Friday the 23rd.
[3] 5:40	Okay. Not the most inventive title, but
[4] 5:43	hey, you can't have a quirky title every
[5] 5:45	week, right? Okay. So, this is our
[6] 5:48	channel, Ancient Egypt and the Bible,
[7] 5:50	and we're here to take your questions on
[8] 5:51	ancient Egypt, the Bible, and everything
[9] 5:53	else in between, as someone just
[10] 5:55	commented. So, hello there. Uh we don't
[11] 5:59	have much in the way of channel business
[12] 6:01	other than uh that uh Riquaryy of the
[13] 6:04	Dead, the first book in our War of the
[14] 6:06	Gods series, uh won the Pencraft award
[15] 6:12	for literary excellence this week for
[16] 6:15	best Christian novel in the general
[17] 6:17	fiction category. So that's another
[18] 6:20	that's our seventh award so far for that
[19] 6:22	book. So um very cool. So it's racking
[20] 6:27	up a literary awards uh which it would
[21] 6:30	lack uh rack up uh book reviews too. So
[22] 6:34	if you are uh if you are interested in
[23] 6:37	uh reading a fast-paced archaeological
[24] 6:40	science fiction book and uh would like
[25] 6:43	to uh help us out, please re leave a
[26] 6:45	review on Amazon. That would be really
[27] 6:48	really helpful.
[28] 6:50	Okay. Uh that's the only channel
[29] 6:51	business to again announce our good
[30] 6:53	fortune here. So, we'll get to the
[31] 6:56	channel rules here and get into the
[32] 6:57	questions. Okay.
[33] 7:00	Uh, super chats have priority. That's
[34] 7:02	true of every YouTube channel. Uh, it
[35] 7:05	means we see them. Not necessarily that
[36] 7:08	we answer them, but we will give them
[37] 7:10	utmost consideration.
[38] 7:12	Uh, we do take nons super chat
[39] 7:14	questions, but we ask that you put a Q
[40] 7:16	and a colon in front so we see them. No
[41] 7:19	Q, no colon. We don't see it.
[42] 7:22	Uh, only post non-super chat questions
[43] 7:25	once. If you post them multiple cl time
[44] 7:27	times, we consider that question
[45] 7:28	spamming and it'll disqualify your
[46] 7:30	question for the night.
[47] 7:32	If it's something from the Bible, we ask
[48] 7:34	that you uh give us some context. So,
[49] 7:37	what we need is what book it's in, what
[50] 7:40	chapter, and what verse. That just saves
[51] 7:43	time and keeps us from hunting.
[52] 7:46	Also, uh if you we also allow uh people
[53] 7:50	to sponsor questions. If you sponsor a
[54] 7:52	question with a super chat, please
[55] 7:54	include the question in the super chat.
[56] 7:56	So again, we don't have to go hunting
[57] 7:58	for it. Just saves us time. And then
[58] 8:00	finally, one question per chat. Uh no
[59] 8:04	question stacking. It's just not fair to
[60] 8:06	people. So that's the rules. We uh hope
[61] 8:10	you enjoy tonight's live stream and we
[62] 8:12	will get uh going here. Okay.
[63] 8:16	Um,
[64] 8:19	Andrew says, "Last time I checked, there
[65] 8:21	were only three hard covers left." Um,
[66] 8:26	that's because Amazon buys these things
[67] 8:29	in cases. Uh, there's there's a reason
[68] 8:32	why. Okay. Um,
[69] 8:37	CPM versus DOSS pre-order for book three
[70] 8:40	just confirmed for me. Awesome. Glad to
[71] 8:42	hear that. Uh, thank you so much for for
[72] 8:46	uh pre-ordering book three. And yes,
[73] 8:48	book three. I should have a I should put
[74] 8:51	the cover up for book three here, too.
[75] 8:53	Let me see if I can find that quickly
[76] 8:54	here. U properties
[77] 8:57	browse.
[78] 9:00	I can put up book three here. Cover
[79] 9:02	quickly. Then
[80] 9:07	three
[81] 9:10	cover.
[82] 9:15	Okay, there we go.
[83] 9:21	All right, I need to reduce the size
[84] 9:23	here a bit. This is the cover for book
[85] 9:25	three. It just want went on pre-sale
[86] 9:30	this week.
[87] 9:31	So, um, Alicia Stripes finally gets her
[88] 9:35	own character arc. So, if you like her
[89] 9:39	as a character, and, uh, she did win the
[90] 9:41	honorable mention in the, uh,
[91] 9:44	Outstanding Creator Awards for best
[92] 9:46	supporting character. Uh, so, uh, if you
[93] 9:50	liked her as a character, she's got a
[94] 9:51	whole book to herself now. So, um, and
[95] 9:55	it's a wild ride. It's a really wild
[96] 9:58	ride. So, uh, there you have it. Book uh
[97] 10:01	three is on pre-order and it will be
[98] 10:03	coming out on July 24th or 20 July 15th,
[99] 10:07	sorry, July 15th.
[100] 10:10	Okay. Uh but yeah, as far as the um the
[101] 10:14	hard covers, the the number of hard
[102] 10:15	covers you see on Amazon, Amazon gauges
[103] 10:18	demand based upon how many sales they
[104] 10:21	get, how many pre-orders they get, all
[105] 10:23	that stuff. And then they have a formula
[106] 10:25	to calculate how many books they need to
[107] 10:28	pre-order in advance.
[108] 10:30	Okay. So, and this is because Amazon
[109] 10:32	does overnight shipping. This is how
[110] 10:34	they do the overnight shipping is they
[111] 10:36	order a case of books based upon demand.
[112] 10:40	And if the demand suddenly exceeds
[113] 10:44	their calculation, that's when you get
[114] 10:46	that dreaded currently out of stock
[115] 10:48	message. So,
[116] 10:51	um, so a constant supply of people
[117] 10:54	buying them ensures that it's always in
[118] 10:56	stock. So anyway, that's that's probably
[119] 10:59	why you're getting the three left is
[120] 11:01	because Amazon really does have just
[121] 11:03	three left and uh they're kind of
[122] 11:07	holding back to see if demand picks up
[123] 11:09	to order more.
[124] 11:11	Okay,
[125] 11:14	so we can move on to the questions here.
[126] 11:18	Our first question,
[127] 11:20	Ryan Cohen Camp, does overnight shipping
[128] 11:23	uh exist in Canada? It does. Um,
[129] 11:28	uh, this is one of the things that
[130] 11:29	Amazon has has pretty much tried to work
[131] 11:31	this out everywhere in the world. It's
[132] 11:32	one of their big features. So, yeah, you
[133] 11:34	can get overnight shipping in Canada.
[134] 11:36	It's just really expensive.
[135] 11:41	Most of the time, if you want free
[136] 11:42	shipping in Canada, you can get it in
[137] 11:44	about six days, six, seven days. So,
[138] 11:51	Dark Blades.
[139] 11:58	Wait, Dr. David Faulk giving me a a
[140] 12:00	woman the status of a book cover
[141] 12:02	character, but someone told me Faulk
[142] 12:04	hates women.
[143] 12:08	Rumors to that effect have been highly
[144] 12:10	exaggerated.
[145] 12:17	strange and she's the hero even more so.
[146] 12:22	Uh there is actually a in in writing a
[147] 12:26	um a test to see if your whim uh your
[148] 12:29	your female main character is important
[149] 12:32	to the story. It's called the sexy leg
[150] 12:34	lamp test. And it and it goes something
[151] 12:36	like this. If you can replace the
[152] 12:39	charact main female lead with a sexy leg
[153] 12:42	lamp and doesn't change the story any,
[154] 12:44	you need to improve the quality of your
[155] 12:46	writing as far as women characters go.
[156] 12:48	Well, if I replaced her with a sexy leg
[157] 12:52	lamp, the whole story would collapse.
[158] 12:54	So, um,
[159] 12:59	CPM versus Doss. Yeah, I thought he was
[160] 13:02	a founding member of the Woman Haters
[161] 13:03	Club if I read correctly. Yeah, don't
[162] 13:06	believe everything you read. That's all
[163] 13:08	I say.
[164] 13:12	Okay. So, so that's that's The Lord of
[165] 13:15	Steel and Sky. Uh the third book in the
[166] 13:18	War of the Gods series. And again, uh
[167] 13:22	it's it's had some um it has it's a real
[168] 13:26	wild ride. So, uh we hope you enjoy that
[169] 13:29	when it comes out.
[170] 13:34	Big Destiny.
