[0] 1:24	Heat. Heat.
[1] 4:38	Heat.
[2] 4:57	Heat.
[3] 6:42	Good morning.
[4] 7:04	Hello and welcome to this our 264th live
[5] 7:07	stream, the Shassu of Vancouver.
[6] 7:13	Uh this is of course a reference to our
[7] 7:15	Monday video which was the shassu of Yah
[8] 7:18	or Yahweh or Yahoo or Yahiwan or Yahe or
[9] 7:24	Ya.
[10] 7:26	All right. If you haven't watched that
[11] 7:28	video, please go back and do so. Uh
[12] 7:32	because it might tell you something
[13] 7:33	about those soluble inscriptions that
[14] 7:34	you might not already know. That said,
[15] 7:37	we're going to get in the channel
[16] 7:38	business here and we're glad you could
[17] 7:40	join us tonight. We we uh know your
[18] 7:42	Fridays are precious and we thank you
[19] 7:44	for joining us. Okay, our first uh a lot
[20] 7:48	of things have happened on the channel
[21] 7:50	today
[22] 7:51	and the hay stack. There must be an
[23] 7:53	exodus in Vancouver.
[24] 7:56	Oh, we can only wish. We can only wish.
[25] 8:03	Let our people go.
[26] 8:08	Okay. Uh, we got a couple irons of
[27] 8:10	channel business because we've been real
[28] 8:13	super
[29] 8:20	>> AJ Higgins the Shassu of Vancouver.
[30] 8:24	Yep. All right. Our first uh thing is we
[31] 8:27	have received our second medal for
[32] 8:30	fiction here. Uh all the stars of angels
[33] 8:33	did receive that uh outstanding creator
[34] 8:35	reward which we announced last week, but
[35] 8:37	we actually got the physical medal this
[36] 8:39	week. So
[37] 8:43	here it is.
[38] 8:47	Yeah, I know it's traditional to bite
[39] 8:49	the metal. There you go. There's your
[40] 8:51	bike shop.
[41] 8:56	Uh the second thing is that the sequel
[42] 8:58	to that b that book uh Lord of Steel and
[43] 9:02	Sky is coming out in five weeks. So we
[44] 9:06	are really close to launch. So if you
[45] 9:08	haven't done your pre-order, do so
[46] 9:10	already. And we would appreciate uh
[47] 9:12	those if you read our books, please
[48] 9:14	leave a review. And the final piece of
[49] 9:18	of channel news is that we've I've just
[50] 9:21	passed the um
[51] 9:24	uh book four to Alpha Reader. Alpha
[52] 9:27	Reader now has book four in her hands.
[53] 9:31	And
[54] 9:33	uh she's reading it as we speak. She may
[55] 9:37	even stop paying attention to the live
[56] 9:38	stream and read that instead. Never know
[57] 9:41	with her.
[58] 9:43	However, if she does read it during the
[59] 9:44	live stream, best not to uh ignore her.
[60] 9:48	That's best that's best that's best
[61] 9:48	that's best that's best that's best
[62] 9:48	that's best that's best that's best
[63] 9:48	that's best that's best not to interrupt
[64] 9:49	her.
[65] 9:53	Okay.
[66] 9:58	So, that's the channel business. Uh
[67] 10:01	next, we'll move on to the channel rules
[68] 10:03	here. Uh super chats have priority.
[69] 10:06	That's always going to be the case.
[70] 10:09	uh any YouTube channel on the net. Uh we
[71] 10:13	do take n super chats, but we ask that
[72] 10:15	you put a Q and a colon in front of them
[73] 10:17	so that we know it's directed to us.
[74] 10:20	Uh if it's a verse from the Bible, we
[75] 10:22	need some context. So do give us the
[76] 10:24	what book it's from, what chapter and
[77] 10:26	what verse helps us narrow it down. And
[78] 10:30	if you make things overly broad, it
[79] 10:32	really hard for us to answer these.
[80] 10:35	Uh, also one super um you can sponsor a
[81] 10:40	super chat, but we ask that you copy the
[82] 10:42	non-s super chat into the super chat so
[83] 10:45	we don't have to go hunting for it.
[84] 10:46	Again, saves us time. And finally, one
[85] 10:49	question per chat. Uh, it's not fair to
[86] 10:55	um
[87] 10:57	it's not fair to to everyone else to to
[88] 11:00	cram 10 questions into a single chat.
[89] 11:02	All right. So, with that said, let's get
[90] 11:04	into the questions.
[91] 11:08	Mama says, "Alpha shall judge you now."
[92] 11:13	Oh dear. Oh dear.
[93] 11:18	Alpha will judge. And Alpha will be
[94] 11:20	brutally honest.
[95] 11:25	I will
[96] 11:27	>> Oh, she's corrected me from brutally to
[97] 11:29	totally. I don't think that's much
[98] 11:31	better, hun.
[99] 11:33	I don't think that's actually an
[100] 11:35	improvement.
[101] 11:35	>> People are brutally because they like to
[102] 11:39	be honest.
[103] 11:43	>> Yeah, that's um
[104] 11:49	Ryan Conam says, "Dare I ask dare I ask
[105] 11:52	where the Omega reader is?" That's you
[106] 11:55	if you're the final reader. If you're
[107] 11:57	the if you're the customer and you're
[108] 11:59	reading it, um, people who get arcs
[109] 12:01	might be Omega readers, but we don't
[110] 12:03	really count those.
[111] 12:06	Okay. Yeah, it's fine.
[112] 12:10	>> Think of it. Alpha will be ruthlessly.
[113] 12:15	>> Yeah. Raging Smurf. Alpha will be
[114] 12:17	ruthlessly carrying in the dissection.
[115] 12:20	Yeah.
[116] 12:23	Yes, she will. But you know what? I
[117] 12:25	welcome it. I welcome it. The worst
[118] 12:28	thing that you could have it be have as
[119] 12:30	an author is fawning uh beta readers.
[120] 12:34	You do not want beta readers that are
[121] 12:37	trying to please you, the author. You
[122] 12:40	want
[123] 12:42	you want beta readers that are totally
[124] 12:45	honest with you. Honesty makes good
[125] 12:48	books. So yeah, I welcome it.
[126] 12:53	Mama says, "I am the beta and the blue
[127] 12:56	flower ranger."
[128] 13:00	Good times. Uh we are going to be
[129] 13:02	putting a call out for beta readers soon
[130] 13:05	on the discord.
[131] 13:07	So um if you've been participating in
[132] 13:11	the um
[133] 13:14	uh in the writer's corner uh and you
[134] 13:16	wish to be a beta reader, please uh
[135] 13:18	we'll we'll be putting out a call for
[136] 13:20	beta readers very soon. Okay.
[137] 13:27	Raging Smurf. Nah, red Rager for the
[138] 13:30	win.
[139] 13:34	Uh, Mama says totally honest and
[140] 13:36	colorcoded.
[141] 13:39	CPM versus DOSS. This chapter sucks.
[142] 13:42	Alpha reader.
[143] 13:45	It's happened.
[144] 13:47	It's happened.
[145] 13:49	And I'll tell you how it happened. and
[146] 13:51	the lesson I learned from it. Okay.
[147] 13:56	Um,
[148] 13:58	it was with book two
[149] 14:01	and Alpha Reader says, "I want this to
[150] 14:05	be a happy ending."
[151] 14:10	And I wrote the happy ending.
[152] 14:14	And she goes, after she reads it, she
[153] 14:17	goes, "It sucks." I said, I know
[154] 14:26	work.
[155] 14:26	>> It didn't work. Happy ending didn't work
[156] 14:29	for the story. So, I wrote it the way it
[157] 14:33	should have been written and it was much
[158] 14:36	better. Much better.
[159] 14:41	So, yeah, sometimes you do get the this
[160] 14:44	chapter sucks and then you have to go
[161] 14:46	back and you have to figure out why it
