[0] 0:54	[Music]
[1] 1:01	hello and welcome back to our live stream uh this is where we take your questions
[2] 1:08	on ancient egypt and the bible and uh for those who
[3] 1:14	um uh are [Music] may have clued into the uh say the the
[4] 1:20	puns and the uh oblique cultural uh references the title
[5] 1:25	of today's live stream is for the good life it's
[6] 1:30	a kind of a pun on the jewish number for 18
[7] 1:35	which is uh heyod so which also translates into life
[8] 1:44	so for certain gifts that say
[9] 1:49	jews often give during celebrations like for example cash gifts they will
[10] 1:55	give it in usually multiples or denominations of 18. so it's it's one of those little um
[11] 2:03	insider puns if you're aware of it you you you would you would have clued in but if
[12] 2:09	you hadn't well you you learned something so uh we're going to be taking your
[13] 2:15	questions we've already got uh quite a few uh super chats lined up here
[14] 2:21	and the rules are the same as always what we're going to do is we are going to priority goes to the super chats no
[15] 2:27	surprise there uh if you are asking a question and you
[16] 2:33	um aren't doing a super chat but you still want to address it to me instead of the other people in the live stream
[17] 2:39	please put a q and a colon in front of it and i also ask that you only ask the
[18] 2:46	question once okay so i can actually scan the
[19] 2:51	uh live chat to see what questions i've taken and which ones i i haven't
[20] 2:58	now i am going to say this too uh just because you put a question on the
[21] 3:04	live chat that doesn't mean i'm actually going to answer it um i
[22] 3:10	for for say non-super chats um i really pick the questions that i find
[23] 3:16	very very interesting or provocative or you know just kind of funky
[24] 3:21	so i do do like interesting questions you know uh i get something out of this
[25] 3:26	too i mean i i'm giving you answers but i'm also i i love questions i'm i'm just
[26] 3:33	it's one of my favorite things about doing this is taking the questions every week
[27] 3:40	now i also would i ask if you do ask a question and this applies to both non-super chats as well
[28] 3:46	as super chats and you reference a foreign word
[29] 3:52	even if it's a hebrew word even though i do read hebrew i don't carry a hebrew lexicon
[30] 3:58	tattooed behind my eyelids so um do explain what the word is or where in
[31] 4:05	the bible it appears when you like for example you like quote a bible verse it really really helps if you put the
[32] 4:12	passage in there if you s you know type out a a word i
[33] 4:18	might not recognize it because it's it's been transliterated or it's an uncommon word
[34] 4:24	so please at your um what you think the translation should be so just gives me a little bit of context
[35] 4:31	as to to be able to figure out what's being talked about
[36] 4:36	so with that said i think we can start getting into the um
[37] 4:42	into the super chats here so we actually got a queue of super chats here which we will begin with and
[38] 4:50	let's see here and the first one is from michael lucas for ten dollars
[39] 4:56	thank you very much michael uh if the of various israelites were
[40] 5:02	literate in in egyptian i'm glad you put that in quotes uh could it be possible that the
[41] 5:09	original torah was first recorded in egyptian before later being
[42] 5:14	copied over into and replaced with paleo-hebrew okay
[43] 5:19	i don't think it's very likely now it is true that
[44] 5:25	um the torah has a lot of egyptian loan words okay that's that's true
[45] 5:32	the problem comes down to syntax now
[46] 5:37	one of the things about egyptian is it has a very very distinct
[47] 5:42	syntax and so does hebrew so one of the things you tend to notice is
[48] 5:50	when things are translated from egyptian into another language that
[49] 5:57	syntax survives one of the most important things i think
[50] 6:02	people get out of learning a foreign language is you get a sense
[51] 6:09	of how things are said in one language versus things that are just never said
[52] 6:14	in that language uh like for example
[53] 6:19	like it was uh egyptian will use the um word
[54] 6:25	all or every as as an adjective as in every man
[55] 6:32	every dog every donkey etc but it won't use them as a
[56] 6:41	pronoun so you'll never find an egyptian all of
[57] 6:46	them is never going to be used in that way and
[58] 6:52	um when you start reading some trends it once you do a lot of translations
[59] 6:58	you start seeing that languages have cadences and modes of expression
[60] 7:05	so um i don't think that the
[61] 7:11	torah was originally written in egyptian i think it was originally written in a semitic language
[62] 7:18	but it did also borrow a lot of egyptian vocabulary so
[63] 7:24	anyway i hope that answers your question thank you very much for the super chat very much appreciate that
[64] 7:32	okay the second one is also from uh michael lucas thank you very much for uh the
[65] 7:38	additional ten dollars okay uh besides the aramaic language demonic script in papyrus amherst 63
[66] 7:46	have there been other texts discovered that combine hebrew jewish language patterns with
[67] 7:52	egyptian script which egyptian script okay now
[68] 7:58	uh papyrus and her 63 is very unusual we don't see very very many of these at
[69] 8:05	all um it is a [Music]
[70] 8:10	it's written in demotic okay now
[71] 8:15	demonic is a [Music] it's a very very cursive form of the
[72] 8:23	egyptian script it's very cursive it's very difficult to read
[73] 8:28	it's exceptionally difficult to read uh unless you are well versed in
[74] 8:34	in what it says so um
[75] 8:40	it's it's a very very unusual papyrus and i'm in no way a demonic specialist
[76] 8:45	um it's actually demotic is is one of those scripts that not every even every egyptologist reads
[77] 8:52	i for example i don't read demonic it's it's its own specialty
[78] 8:58	so i mean while i read hierarchic and hieroglyphic demonic is not one of
[79] 9:06	the scripts egyptian scripts that i read and that's because it takes years and years of practice
[80] 9:13	to become proficient at um demonic uh one of my good friends um egyptologists
[81] 9:21	uh richard jaznow is an expert at demotic you know and
[82] 9:26	that's his focus is demonic now part of the reason why i don't do
[83] 9:32	demotic is because quite frankly
[84] 9:38	there's not a lot of interesting texts now papyrus amherst 63 is an exception
[85] 9:43	it's a very interesting text because it records psalms uh judean or aramaic psalms
[86] 9:51	so it's very very interesting in that respect some of those psalms don't actually
[87] 9:57	appear in the bible even so that too is very very interesting and it appears to have it
[88] 10:05	was written in the fourth century bc and it appears to have been um
[89] 10:11	uh originally written by essentially judean mercenaries
[90] 10:18	now there were in the 4th century bc a lot of jewish
[91] 10:23	judean sorry mercenaries that were stationed out of
[92] 10:29	elephantini and they would frequently be assigned to go patrol the southern
[93] 10:36	extremities of egypt and this is because beyond say elephantini
[94] 10:42	you had say the nubian kingdom
[95] 10:47	so you had meroway down there and there was at that time say tensions between
[96] 10:53	meroway and egypt proper so they
[97] 10:58	made themselves useful when they escaped nebuchadnezzar and you know made home at el fantini to
[98] 11:05	become mercenaries so this is one of those texts that
[99] 11:10	that's that's safe from elephantini and we do actually find a lot of aramaic
[100] 11:17	texts uh from elephantini but this is the this is this one is
[101] 11:22	really unique we don't actually see very much demotic used with
[102] 11:30	aramaic under the cover so
[103] 11:36	so uh i hope that answers your question thank you very much for the super chat i very
[104] 11:42	much appreciate it okay now i'm gonna try to see if we can just
[105] 11:49	if everything shows up here
[106] 12:08	okay so i'm glad i recorded this
[107] 12:13	um super chat from kenneth vaughn for 4.99 thank you very much
[108] 12:20	how what do you i think what do you think of the recently reported uh on space rock explosion at tel ahman sinks
[109] 12:28	with or how do you i guess it is how how do you think the recently reported space rock explosion at tel alhaman sinks with
[110] 12:35	sodom and gomorrah if at all thanks and god bless um
[111] 12:41	i have some questions about that article now i have read the the nature article
[112] 12:47	um i've got some questions i've got some concerns about
[113] 12:54	the methodology of that article um i'm sort of reserving full judgment
[114] 13:01	until there's been more responses and more peer review from um subject matter experts on sky
[115] 13:08	bursts okay uh i have i have some
[116] 13:14	some some serious issues with the chronology of it
[117] 13:19	i think the the chronology i mean they are using carbon 14 and that certainly has some
[118] 13:24	issues okay especially when they're starting to try to to pin absolute dating now they're
[119] 13:31	pinning the date of this event to uh 1668 bc
[120] 13:37	okay that is a very late okay
[121] 13:42	that is you're talking here now it's in the lifetime of joseph not just the
[122] 13:48	lifetime of abraham abraham should be dead at this point so i think that's
[123] 13:54	that's got some issues now there is there is a wiggle room there and they did say that in the article that it
[124] 14:00	could be from 1750 to 1650 and that's actually
[125] 14:07	that's that's decent range that is not problematic in and of itself
[126] 14:15	i do think the idea that a lot of the mineralogy of say that region
[127] 14:22	being attributed to the sky burst i would have liked to have seen a null
[128] 14:28	hypothesis in this article i would have loved to have seen um
[129] 14:33	a proper mineralogical survey of the region like for example there's there's a claim
[130] 14:39	that a lot of the salt of the area came from the sky burst
[131] 14:44	well the salts that are found in the dead sea region those are bromine salts
[132] 14:50	as i would have loved to have seen say a
[133] 14:55	mineralogical survey of the dead sea and the bromine salts there
[134] 15:01	to [Music] see how deep that goes
[135] 15:07	is that still consistent with a sky burst there's a lot of things here that you
[136] 15:13	know this this article almost raises more questions than it answers so
[137] 15:20	um i'm also not comfortable with
[138] 15:26	um the stratigraphy i mean the article just says well we
[139] 15:31	have this in stratigraphy well i haven't seen the stratigraphy
[140] 15:36	because it hasn't been published this has always been one of the problems i have with um with uh steve collins
[141] 15:44	work at telecom is that he just it's not published this the the field
[142] 15:51	reports have not been published and until i can get a good look at the field
[143] 15:57	reports and discover his methodology for dating
[144] 16:02	for ceramic topology for his various fines
[145] 16:08	see all the destruction layers um see what kind of record keeper he is
[146] 16:14	so we don't even know if he's good at record keeping i mean he may just be scribbling all these notes on the backs
[147] 16:19	of napkins for all we know it happens way too frequently in this
[148] 16:25	field i'll tell you i would like to see some good methodology in a field report
[149] 16:34	before i can say much more about whether or not this is sodom or gomorrah
[150] 16:40	um and even so even if it had been wiped out by skypers
[151] 16:47	it's still i still think he's got a ways to go to actually show that this is sodom now it
[152] 16:56	could be possible you know he's made a very interesting case but
[153] 17:04	interesting cases aren't evidence and i'm very evidence driven i want to see evidence
[154] 17:10	and i i don't think that's unreasonable but because i want to see evidence i
[155] 17:16	want to see a good solid field report that i can actually reference
[156] 17:22	and and frankly i you know even if it even if it is something that is say open access that
[157] 17:28	would be better than nothing so but i think you know a good solid you know
[158] 17:35	50 to 300 page field report should be coming from a discovery of this
[159] 17:40	magnitude you know he's had all he's had a long time to work on this this city so he
[160] 17:46	should be publishing anyway so i'd love to see at least an interim
[161] 17:52	report come out so anyway thank you very much for the super chat very much appreciated
[162] 17:58	okay uh ten dollars from rg strategy thank
[163] 18:04	you very much it's good to see you here uh i'm glad you made it okay
[164] 18:11	do you think there will be more royal tombs found in the valley of the kings
[165] 18:17	uh depends what you mean by royal okay if you mean the tombs of kings
[166] 18:23	probably not with maybe one exception there might be one more lurking there i think i believe there's one more tomb
[167] 18:30	lurking in kings valley um but there's also a lot of smaller royal
[168] 18:38	tombs like the tombs of queens and say um princes that i think remained to be
[169] 18:44	discovered at uh kings valley so i think there's actually a lot more
[170] 18:49	into kings valley that has not yet been discovered and frankly i think there's
[171] 18:54	been um [Music] some tombs that have been overlooked as
[172] 19:00	well you know they did say uh say a field um
[173] 19:05	some ground truth thing discovered it wasn't a royal tomb and just moved on
[174] 19:11	i mean this is what happened to kv-5 and then they dig it and they find this massive massive you know tomb complex
[175] 19:18	underneath uh the second part of your question what kings of the new kingdom have not had
[176] 19:24	their tombs or mummies found yet thank you and blessings okay uh
[177] 19:30	probably um there are there is one
[178] 19:35	um one two there's two tombs from the new two kings of the new kingdom that the
[179] 19:42	mummies have not been discovered and their tombs have not have been discovered now in some cases we find a tomb and no
[180] 19:48	mummy sometimes we find a mummy in no tomb so
[181] 19:55	in those cases it's it's um it's a little hard to sort of uh find
[182] 20:02	them but
[183] 20:07	here's here's from from we'll just talk uh say just from dynasties 18 and 19 here okay
[184] 20:14	now probably the big one that's missing is almond hotep the first tomb okay
[185] 20:20	he's the guy that he's the second king of dynasty 18 he um
[186] 20:27	started he's the guy that started the valley of the kings
[187] 20:32	um uh funerary context uh a complex it was his tomb
[188] 20:39	that supposedly you know was the reason for building the um the
[189] 20:46	workmen's village at dear el medina so ahmed hotep the first
[190] 20:53	is is a very very important king he's he's he was the first to be supposedly buried in the valley of the
[191] 20:59	kings and we haven't found his tomb we don't know where it is we don't know if it's in the valley or
[192] 21:05	outside the valley so uh he's missing he's missing in action
[193] 21:13	um another one that that's that's uh there's probably
[194] 21:18	a missing amarna king we don't know exactly which one
[195] 21:25	now i personally think uh say from kv-55
[196] 21:30	which held a
[197] 21:36	badly decomposed and vandalized sarcophagus
[198] 21:43	i think um that um uh
[199] 21:48	it helds them the the the mummy of akhenaten
[200] 21:54	which means cement carre's mummy is missing and tomb is missing he might not have even been buried at
[201] 22:00	amarna he might be a bear sorry at king's valley he might be buried at a marna
[202] 22:05	or it's cement ray buried in that sarcophagus and then akhenaten is the
[203] 22:11	missing king so one of those two is missing we just don't know which one
[204] 22:17	uh my thought on this is akhenaten is actually buried in in that in that
[205] 22:22	sarcophagus okay and um the final sort of missing king of
[206] 22:30	the new kingdom is um ramses the eighth
[207] 22:35	romsey's the eighth is um had a falling out with the with the
[208] 22:41	priests of thieves so he more or less refused to be buried
[209] 22:46	in kings valley out of protest so he's not his tomb has not been
[210] 22:52	located and his tomb is not in the valley of the kings either it's possible that it's in sakhara it's
[211] 22:58	possible it's at abidos we don't know where uh ramsay's the eight's tomb is but he
[212] 23:06	had the time to complete a tomb he just didn't do it in the valley of the kings
[213] 23:11	so anyway that's your your list of kings if you want to start go uh
[214] 23:17	on your own archaeological ex uh excavations looking for some missing
