[0] 0:00	[Music] foreign
[1] 0:06	[Music]
[2] 0:21	[Music]
[3] 0:36	[Music]
[4] 0:58	[Music]
[5] 1:05	[Music]
[6] 1:15	foreign [Music]
[7] 2:00	[Music]
[8] 2:25	foreign
[9] 2:32	[Music]
[10] 2:57	[Music]
[11] 3:07	[Music]
[12] 3:20	[Music]
[13] 3:27	foreign [Music]
[14] 3:39	foreign [Music]
[15] 4:27	foreign [Music]
[16] 4:48	foreign
[17] 4:55	[Music]
[18] 5:11	got the technical glitches worked out uh we are welcome to this our 107th live
[19] 5:19	stream uh hot mess of evil animals
[20] 5:24	uh epigraphy um yeah band Ray is probably right this is what
[21] 5:30	happens when you talk trash about a curse ambulance uh [Laughter]
[22] 5:41	okay uh yeah YouTube does not like it when you have to start and restart a live
[23] 5:48	stream so uh we are going to be dealing with a little bit of a delay tonight of about
[24] 5:55	35 seconds between what I read and what you hear okay we just have to live with
[25] 6:00	that so it's better than what we had before which was like over a minute so
[26] 6:06	uh we try to keep the delay the latency down as as short as possible but
[27] 6:13	sometimes well technology isn't perfect okay
[28] 6:18	so we want to welcome you welcome you all here tonight uh we're glad you joined us on the live stream
[29] 6:24	and it's the same as every Friday we take your questions
[30] 6:29	on Ancient Egypt and the Bible and we do some super chats we do some non-super
[31] 6:34	chats super chats have priority you know you all know that if you want to ask a question that's not
[32] 6:41	a super chat we also take those two we ask that when we you do put a
[33] 6:46	question like that we ask that you put a q and a colon in front of the question so I know it's directed to me and not to
[34] 6:51	someone else in the live stream we also ask that if you're asking a question about the Bible or an ancient
[35] 6:58	language that you that you give me a little context like for example if you
[36] 7:03	are quoting something from the Bible please include the book of the Bible the chapter and the verse we also ask that
[37] 7:10	you may uh for like foreign words tell me what language you think it's in what you think it means just give me a
[38] 7:17	little bit of context so I don't have to just scramble around and try to figure out what you're trying to say okay
[39] 7:24	so with that said let's get into questions
[40] 7:31	okay now
[41] 7:38	we are going to start the night with a few not super chats like we always do
[42] 7:43	our first one here is from darkblade and he asks
[43] 7:49	is it possible to interpret both the 480 years and I'm presuming here he means
[44] 7:55	the 480 years of first king six one and the Ramses the second let reference
[45] 8:00	literally and date the construction of the temple to 820 BC or something like that or does the evidence disallow it
[46] 8:08	well that would be a wonderful solution unfortunately the evidence does disallow
[47] 8:15	it here's the problem the problem is we got lots of synchronisms for the judai dynasty okay
[48] 8:23	for the kingdom of Judah so we are forced to date the
[49] 8:30	construction of Solomon's Temple to 966 or 967 BC
[50] 8:35	and that's because there's lots of synchronisms between the judai Dynasty and Assyria
[51] 8:42	so that would unfortunately disallow this creative solution
[52] 8:48	but I like the way you're thinking here you know we do need to think kind of like this I want to encourage people to
[53] 8:55	think like this to say okay are there other possibilities that we aren't considering here so I I do appreciate the sentiment here
[54] 9:02	but I think in this case the the evidence is not going to permit it here so unfortunately you are going to may
[55] 9:10	have to make that choice of which sort of passages you do take literally
[56] 9:15	the ones that talk about the 480 years or the mentions of the city of Ramses
[57] 9:22	so anyway I hope that answers your question thank you very much for the question great question I love the
[58] 9:28	creative thinking here I I I absolutely think that we should do more creative
[59] 9:34	thinking when we start approaching these passages because that opens up new potential
[60] 9:39	possibilities and it's okay to to do that and still be wrong
[61] 9:45	so uh again I admire the question which is why we selected it as our first one for the night so thank you very much for
[62] 9:52	the question very much appreciated our second non-super chat here is from
[63] 9:59	darkblade again how did ancient Egyptians form I think
[64] 10:04	it means language here how the Egyptian ancient Egyptian language form the past tense okay
[65] 10:11	this is a grammar question this is a grammar question and I love grammar questions
[66] 10:16	[Laughter] I totally geek out on grammar questions they're the best
[67] 10:25	okay here's what I would say uh the present tense
[68] 10:30	um the perfect form in Egyptian is the sejam f which means you have a tri-continental
[69] 10:35	root occasionally a a four consonant rule but usually a tri-continental root and then
[70] 10:41	the predominal suffix at the end of it well the past tense in ancient Egyptian
[71] 10:47	is the sejam NF and they would just add an n in between
[72] 10:53	the tri-continental root and the predominal suffix and that would mark it as a past tense
[73] 10:59	and we see this fully fleshed out by the Middle Kingdom by middle Egyptian
[74] 11:06	now unfortunately in in archaic or old Egyptian we don't see that
[75] 11:12	they didn't have a sediment F form but by classical or middle Egyptian absolutely it's there and it's well
[76] 11:20	attested verbal form so anyway thank you very much for the question very much appreciate and I hope
[77] 11:27	that helped again it's a grammar question I love it and the language did have a past tense
[78] 11:37	yep sejamin f
[79] 11:43	that's what the form is called in at least in egyptology so uh by the way the verb sejam is the verb to hear
[80] 11:52	and it's the most regular verb form which is why it's used always as the
[81] 11:58	sort of the the um the template for explaining grammar in
[82] 12:05	in ancient Egyptian because it's it's so regular it's not even funny
[83] 12:14	all right I'll take a couple more here
[84] 12:22	um turn that one off
[85] 12:29	I'm gonna take this one from BC with so many individuals in groups like ABR helping to make Christian Academia
[86] 12:36	look like complete laughingstock I wonder are there any reputable bodies supporting solid evidence-based work and
[87] 12:43	that's a great question um
[88] 12:49	when say ABR took over the Nas and the
[89] 12:54	NES is the near Eastern Archeology Society it used to be an Evangelical
[90] 13:02	Society it's now been overrun by ABR
[91] 13:07	so they drove out all the moderates they they drove out all sort of the
[92] 13:13	um the more academic uh archaeologists some of them went to ibr which is the
[93] 13:21	institute for biblical research um some of them went to more
[94] 13:28	um say discipline specific organizations
[95] 13:35	like RC or um I think there's the there's I think
[96] 13:40	it was an um the AR I think it's ARR the um
[97] 13:50	the acronym for that again um there's a there's another Institute that just focuses on the academic study
[98] 13:57	of Religion but it just sort of drove everyone off to the Four Winds
[99] 14:03	and there hasn't been really a group that's replaced the Naas
[100] 14:09	um again this is this old old adage that bad currency drives out good
[101] 14:15	and that's what happened here was you had bad archeology driving out good archeology
[102] 14:22	but this is what ABR does is it sort of enters into Evangelical organizations
[103] 14:28	takes it over and then drives out anyone that disagreed with them
[104] 14:36	so um I don't know much more to say about that but unfortunately nothing's come along
[105] 14:42	to basically sort of fill in the role here of a more moderate ABR
[106] 14:49	up in RCs and and there's there's a lot there's a lot of groups out there that have now
[107] 14:56	become very polarized as a result of this as well so again
[108] 15:03	I mean you got SPL on they'll see that extreme liberal Spectrum and ibr is the more conservative of it
[109] 15:10	but again it's it's not ideal
