[0] 0:00	Heat. Heat.
[1] 0:07	[Music]
[2] 0:21	[Music]
[3] 0:43	[Music]
[4] 0:51	Heat.
[5] 1:05	[Music]
[6] 1:11	Heat.
[7] 1:13	[Music]
[8] 1:45	[Music]
[9] 2:19	[Music]
[10] 2:42	[Music]
[11] 2:52	[Music]
[12] 3:12	[Music]
[13] 3:19	[Music]
[14] 3:33	[Music]
[15] 3:55	[Music]
[16] 4:02	[Music]
[17] 4:17	[Music]
[18] 4:57	[Music]
[19] 5:23	[Music]
[20] 5:30	[Music]
[21] 5:53	[Music]
[22] 6:21	Hello and welcome to this our 213th live
[23] 6:24	stream exploring the sewer world. If you
[24] 6:29	don't get the reference here, it's we
[25] 6:31	our last Monday video was called
[26] 6:33	exploring the spirit world where we
[27] 6:35	talked about the primordial gods. If you
[28] 6:37	haven't seen that video, please go back
[29] 6:39	and watch it after this is over. And I
[30] 6:41	noticed here I have not configured my
[31] 6:43	camera.
[32] 6:45	Isn't that that's the sort of day we're
[33] 6:48	having today.
[34] 6:51	We just had to deal with a troll on
[35] 6:53	Discord, which was not fun.
[36] 6:56	Okay,
[37] 6:58	that Oops. Go. Go dark.
[38] 7:02	Light again.
[39] 7:06	Okay.
[40] 7:08	And then
[41] 7:23	all right, there we go. Everything all
[42] 7:25	set up. Yeah. Yeah. We had to deal with
[43] 7:28	the troll like like three minutes before
[44] 7:30	the live stream started.
[45] 7:32	So yeah, they're not fun. Not fun at
[46] 7:35	all.
[47] 7:38	Okay, so anyway, we want to thank you
[48] 7:40	all for joining our live stream today
[49] 7:42	and uh uh we're glad you could make it
[50] 7:46	and be with us. Uh we're just going to
[51] 7:50	get right into the rules here and get
[52] 7:52	into the uh questions. Okay, so
[53] 7:58	yeah, don't feed the gremlins after
[54] 8:00	midnight. Absolutely.
[55] 8:03	Okay, so the rules of live stream are
[56] 8:06	super chats have priority. That's true
[57] 8:07	of any live stream uh on
[58] 8:11	on YouTube. It doesn't guarantee a super
[59] 8:13	chat will not guarantee you we take your
[60] 8:15	question, but it guarantees we see your
[61] 8:17	question. Okay. Second is we do take
[62] 8:20	non-s super chats, but we ask that you
[63] 8:22	put a Q and a colon in front of it. We
[64] 8:24	don't if that's not there, we don't see
[65] 8:26	it. Okay. So, just keep that in mind.
[66] 8:31	Uh, your non-s super chat questions,
[67] 8:33	only post them once. All right. If you
[68] 8:35	have question spam, we disqualify your
[69] 8:38	question for the night.
[70] 8:40	If you have a uh making a reference to
[71] 8:43	something in the Bible, please give us
[72] 8:44	some context. So, we need the uh book
[73] 8:47	it's from, the chapter, and the verse.
[74] 8:50	That just helps us to narrow things
[75] 8:51	down.
[76] 8:54	We also allow uh sponsored non-super
[77] 8:58	chats. So if you're sponsoring a non-s
[78] 9:00	super chat, please include the text the
[79] 9:02	question in your super chat so we don't
[80] 9:05	have to hunt for it. That just saves us
[81] 9:07	a lot of time. And then finally, one
[82] 9:09	question per chat per one question per
[83] 9:12	chat. So we want to avoid the whole sort
[84] 9:15	of question stacking that sometimes has
[85] 9:18	been used in some of these super chats.
[86] 9:20	So those are the rules. We hope we hope
[87] 9:23	we have a great time tonight and we're
[88] 9:25	going to get right to the questions
[89] 9:26	here.
[90] 9:28	Okay,
[91] 9:31	our first question of the night
[92] 9:34	is going to be
[93] 9:41	from
[94] 9:45	Dark Blade. Woohoo.
[95] 9:48	and his question is, "As someone
[96] 9:49	unfamiliar with both Egyptian and
[97] 9:51	Semitic languages, do you support the
[98] 9:53	theory that they have a common ancestor
[99] 9:56	nowadays known as protoafroasiatic?"
[100] 9:59	Um, I don't see anything really
[101] 10:01	problematic with that theory. Um, so I
[102] 10:04	mean I don't I mean I hold to it because
[103] 10:08	if nothing it's a linguistic uh
[104] 10:11	classification if nothing else. There
[105] 10:13	does seem to be some relationship
[106] 10:15	between Egyptian and Semitic languages.
[107] 10:19	So, um the idea that it came from one
[108] 10:22	root language called protosemitic is
[109] 10:26	also not not that big a leap either. So,
[110] 10:32	um I support the theory, but it's like
[111] 10:36	if another theory came along that was
[112] 10:37	better, I yeah, I wouldn't have any
[113] 10:39	problem abandoning that that either. But
[114] 10:41	overall, I think the evidence is pretty
[115] 10:42	good that they there's a common root
[116] 10:44	language to both. So, I hope that helps.
[117] 10:47	Thank you for the question. Very much
[118] 10:49	appreciated.
[119] 10:51	Okay, we got a second
[120] 10:53	nons super chat here from Joseph. What
[121] 10:58	does the word ark mean? Okay,
[122] 11:02	now
[123] 11:04	we're talking here about
[124] 11:08	um just the term English arc. Okay. Now,
[125] 11:11	a term the term arc in English can refer
[126] 11:14	to one of two things.
[127] 11:16	It can refer to a boat.
[128] 11:19	It can also refer to a vessel that's
[129] 11:22	used to protect something. Okay? And it
[130] 11:25	can be used both ways. Okay? There
[131] 11:27	there's there's no question that it is
[132] 11:29	often used in both ways. Now, when it
[133] 11:32	comes to the term ark in the Bible, the
[134] 11:36	Hebrew term, you got two words, okay? Uh
[135] 11:41	you got Noah's ark, which is a tea, and
[136] 11:44	then you've got the ark of the covenant,
[137] 11:47	which is an Aon.
[138] 11:49	And those are kind of different
[139] 11:52	um in in what they mean. Okay? Now,
[140] 11:55	ironically, neither one of those terms
[141] 11:57	in Hebrew means a boat. Okay. Now, we we
[142] 12:02	sometimes translate that in in its
[143] 12:04	contextual meaning as as a boat, but it
[144] 12:07	doesn't really mean that
[145] 12:10	in the case of Noah's arc
[146] 12:13	that tea, a tea is a box. It's a chest.
[147] 12:19	So, this really should be translated
[148] 12:21	Noah's chest, not Noah's or ark. Okay.
[149] 12:27	So that's so in that case it's when when
[150] 12:30	we translate it arc in that sense it's
[151] 12:33	it's it's in that boat meaning as well
[152] 12:37	as in that nuance of being a protective
[153] 12:40	vessel. Okay.
[154] 12:43	Now in the case of
[155] 12:46	an aone which is the ark of the covenant
[156] 12:49	that particular aone means a coffin
[157] 12:53	uh a chest or a coffer and probably
[158] 12:56	coffer or coffin is probably the closest
[159] 13:00	meaning to arone. Okay.
[160] 13:03	So
