[0] 0:00	[Music] foreign
[1] 0:22	[Music]
[2] 0:29	[Music]
[3] 0:43	[Music]
[4] 0:49	foreign [Music]
[5] 1:08	[Music]
[6] 1:15	[Music]
[7] 1:21	foreign [Music]
[8] 1:51	foreign
[9] 1:58	[Music]
[10] 2:13	hello and welcome to this r76 live stream 100 Years of King Tut
[11] 2:19	yes for those of you who may not be aware uh today is the 100th anniversary of
[12] 2:27	this of the discovery of the tomb of King Tutankhamun that was discovered by
[13] 2:32	Howard Carter and it was revolutionary it was it was a
[14] 2:37	game changer for uh archeology it's one of the two great
[15] 2:44	discoveries of the 20th century the other one being the Dead Sea Scrolls
[16] 2:51	and it's debatable which one was the more important discovery because the discovery of the Tomba King
[17] 2:58	Tut revolutionized egyptology and Archeology in just ways that
[18] 3:05	that are still being felt today all across the uh the field
[19] 3:12	uh the discovery of the Tuma King Tut was it was so full of stuff
[20] 3:20	that to put this into perspective not all of it's been properly published
[21] 3:27	and it's surprising that a discovery from 1922 Still Remains not completely published
[22] 3:36	there's small items of jewelry that remain unpublished large boxes that remain unpublished
[23] 3:42	it is it's changed a lot of things to change the laws of Egypt as far as Antiquities were concerned
[24] 3:49	it it filled in a massive Gap in Dynasty 18
[25] 3:56	it also told us the potential Splendor for other tombs as well
[26] 4:01	so it really is a it was revolutionary we
[27] 4:06	have to remember one of the interesting things about King Tut's tomb was
[28] 4:13	before it was discovered Hooten common was just a name it was just a name
[29] 4:20	found in basically the tomb robbery papyri basically
[30] 4:25	when they were checking the tombs they just checked off the various tombs that they were inspecting
[31] 4:31	so it was just a name a few items from King Tut had been discovered his name had been discovered
[32] 4:37	on search and stone blocks but it was virtually he was it was
[33] 4:43	considered to be a small insignificant King and he's
[34] 4:48	still considered an insignificant King however the discovery of his tomb
[35] 4:53	just filled in so much information about
[36] 4:58	how burials were done burial customs
[37] 5:04	um how tombs were created how they were sort of finished and and the role they
[38] 5:10	played in succession so it really was a revolutionary Discovery
[39] 5:17	and it still continues to reap dividends there are more they're all still
[40] 5:22	discoveries being done based upon the work that was done in the excavation of
[41] 5:28	that tomb so ground it was groundbreaking stuff in 1922 it's still important today very
[42] 5:36	very important and this goes beyond just the the gold I
[43] 5:41	mean we got tons of inscriptions from that tomb as well and descriptions are really great you
[44] 5:46	know uh because you know we have the names of certain kings that are also still not discovered and still not
[45] 5:53	tested from that tomb like smencaray
[46] 5:58	you know King Tut's predecessor his name is found on some of the artifacts in
