[0] 0:00	Heat.
[1] 0:06	[Music]
[2] 0:21	Hey, heat. Hey, heat.
[3] 0:47	Heat. Heat.
[4] 1:04	[Music]
[5] 1:26	Hey, buddy.
[6] 1:44	[Music]
[7] 1:57	Heat. Hey. Hey. Hey.
[8] 2:00	[Music]
[9] 2:18	[Music]
[10] 2:39	[Music]
[11] 2:51	[Music]
[12] 3:18	[Music]
[13] 3:32	[Music]
[14] 4:06	Heat. Heat.
[15] 4:09	[Music]
[16] 4:15	[Music]
[17] 4:24	[Music]
[18] 4:49	[Music]
[19] 4:56	[Music]
[20] 5:07	[Music]
[21] 5:24	[Music]
[22] 5:54	[Music]
[23] 6:03	[Music]
[24] 6:22	Hello and welcome to this our 200 128th
[25] 6:25	live stream, the ABR boogie.
[26] 6:36	We of course did a Monday video uh
[27] 6:39	talking about the various views of the
[28] 6:42	dating of the Exodus.
[29] 6:45	And of course, ABR's name came up a few
[30] 6:47	times and we called that a dance card
[31] 6:49	because there's so many options. So,
[32] 6:51	we're going to be picking out a
[33] 6:53	particular dance, which is the ABR
[34] 6:55	boogie. Okay.
[35] 7:00	Okay. Uh, that's a that's a that's was a
[36] 7:04	wonderful name for a live stream.
[37] 7:09	Uh, One Piece of Channel Business. Uh,
[38] 7:12	in case you guys didn't hadn't heard,
[39] 7:15	uh, All the Stars as Angels, our second
[40] 7:18	work of fiction.
[41] 7:20	hit number 18 on the on the robots,
[42] 7:25	androids, and artificial intelligence
[43] 7:28	bestseller list on Amazon. Now, in case
[44] 7:31	you are not aware, I wouldn't expect you
[45] 7:34	to be, that's a big deal because it's a
[46] 7:37	category that's been dominated by Martha
[47] 7:39	Wells like forever. You know, she uh
[48] 7:43	wrote the Murderbot series and breaking
[49] 7:45	into that list is really hard. really
[50] 7:49	really hard.
[51] 7:51	So
[52] 7:52	the fact that that all the stars as
[53] 7:55	angels has hit not just the top 100 but
[54] 7:59	the top 20 is a really really great
[55] 8:02	thing. Now it might have dropped a
[56] 8:04	little bit since but the fact that it
[57] 8:07	hit number 18 this week is just
[58] 8:09	fantastic news. Fantastic news and we
[59] 8:12	owe you the thanks for that. You're the
[60] 8:15	guys who have been buying the book.
[61] 8:17	you've been giving it reviews on Amazon
[62] 8:19	and if you haven't written a review on
[63] 8:22	it, please do so. That really does help.
[64] 8:25	But we're all we're grateful for your
[65] 8:27	support of the fiction project. And the
[66] 8:30	reason why this is so important
[67] 8:35	and uh there was actually a book written
[68] 8:38	on this called pop culture heretic that
[69] 8:41	discusses that we don't get our morality
[70] 8:45	from our teachers or our parents. We get
[71] 8:47	it from fiction. We get it from the
[72] 8:50	entertainment we consume.
[73] 8:52	So our interaction with uh with fiction
[74] 8:56	and with the arts plays an integral role
[75] 9:00	in shaping the culture of our society.
[76] 9:04	So we think that this is a very very
[77] 9:07	important and vital ministry. So it's
[78] 9:10	not just this is not just a vanity
[79] 9:12	project. This is
[80] 9:16	this is just we think that this is going
[81] 9:19	to to to shape our culture in years to
[82] 9:22	come. So this is why we think this is
[83] 9:25	important and if our book gets some
[84] 9:28	traction all the better. All right. So
[85] 9:31	again, we want to thank everyone who's
[86] 9:33	who helped us hit that number 18 spot.
[87] 9:36	We're so grateful to you guys. You guys
[88] 9:39	are the best. Okay.
