[0] 0:53	[Music]
[1] 1:00	hello and welcome to our 17th live stream on ancient egypt in the bible
[2] 1:07	here and we are uh back at our regular time
[3] 1:14	and it's great to be here uh in case you guys didn't figure it out
[4] 1:20	17 is a prime number so that's why we named it back to uh
[5] 1:26	prime time so a little bit of a mathematics pun there
[6] 1:33	so uh the format is the same as it is every week we
[7] 1:38	take your questions on ancient egypt and the bible super chats have priority
[8] 1:45	uh no one should be surprised with that we will take as many non-super chats as
[9] 1:51	we can and if you do do a non-super chat please prefix your question with a q and
[10] 1:59	a colon so i know it's directed to me instead of others inside the chat and also i also would ask that you
[11] 2:06	only mention your question once so i know whether or not i have addressed it okay
[12] 2:12	so tonight it doesn't look like we have any super chats to begin with so we'll just get into questions
[13] 2:18	so let's see here um
[14] 2:23	uh only one so far so uh disciple of christ
[15] 2:28	uh let's see it's a little bigger so i can read it
[16] 2:35	did the egyptians have a rich music culture um they did have a rich music culture yeah
[17] 2:41	uh what were their preferred instruments okay they played flute
[18] 2:47	uh which they made from papyrus reads they um had um
[19] 2:54	symbols uh small handheld symbols uh finger symbols to be exact
[20] 3:01	they had um system which was kind of a rattle it was a rattle um probably the most um
[21] 3:08	important musical instrument um as far as its um
[22] 3:13	religious symbolism you see you see the system being used in a lot of temple scenes
[23] 3:19	so um and yes music was very very important in
[24] 3:24	temple ritual as well the other one is a liar now
[25] 3:29	uh you the liars that the egyptians used were big instruments they were more like a harp
[26] 3:35	than say a handheld liar like the greeks used so they're they're they're full-sized harp
[27] 3:40	harp-sized instruments so uh we do there are several scenes and
[28] 3:46	tombs of musicians playing and dancers so actually yeah it was uh very very
[29] 3:53	important to the egyptian culture now with that said
[30] 3:58	we don't know how if if they even it or if even if
[31] 4:04	they did record music in in say a notation
[32] 4:10	it looks a lot like it was sort of passed down orally be from
[33] 4:15	musician to musician but it is very interesting to see that that you all these instruments being
[34] 4:21	played so they they had an ensemble and an ensemble that was that's
[35] 4:28	was capable of producing some interesting uh kinds of music so anyway thank you very much for your
[36] 4:35	question very much appreciated okay
[37] 4:44	okay i'm gonna take white girl with instagram black screams question here
[38] 4:50	uh i'm very interested if you have a theory on who you think the historical nimrod was okay
[39] 4:57	um i don't actually have an opinion on this yet because i haven't really looked in it in detail
[40] 5:03	um ces in the 19th century thought it was a sargon of akkad
[41] 5:10	now um he's one possibility
[42] 5:15	but i think there's other possibilities too like uh narum sim um
[43] 5:20	there's a variety of potential candidates for for nimrod
[44] 5:25	so until i really start looking at this a little deeper i'm not going to give an affirmative opinion on this yet
[45] 5:33	so um i know i have to go back and and look at this issue but i just haven't gotten there yet
[46] 5:39	um i've been kind of busy um i should mention one of the things i've i've had
[47] 5:46	in the last two months is i've just been deluged with uh publication deadlines
[48] 5:52	so um so i've had to sort of um i'm still sort
[49] 5:57	of catching my breath from this um and i'm still not through it so
[50] 6:02	once i get sort of past those publication deadlines i might have a little bit of time to start looking at
[51] 6:09	some of these other issues too so right now i don't have an opinion on this
[52] 6:14	but i think there's lots of candidates who could fit the bill so thank you very much for your question
[53] 6:22	okay we've got our first super chat here
[54] 6:28	from matthew harrell for five dollars thank you very much
[55] 6:35	what are the urum and thumin and where did the candle abra in the temple come
[56] 6:41	from okay the candle opera
[57] 6:47	is a um is a piece of furniture that goes way back um we don't know exactly
[58] 6:54	why the candle opera was designed but it is part of the tabernacle furniture so it at least comes from the the um
[59] 7:01	tabernacle as far as is there any um predecessors to that
[60] 7:07	well that's sort of speculative at this point we don't have enough enough iconographic
[61] 7:12	evidence to sort of say what is the origins of the candelabra okay but it does seem to originate with
[62] 7:19	the tabernacle and uh the book of exodus does give instructions on how to build the
