[0] 0:22	Oh,
[1] 0:29	hey.
[2] 3:21	>> [music]
[3] 5:26	[music]
[4] 6:04	[music]
[5] 6:09	>> Hello and welcome to this our 244th live
[6] 6:12	stream. Roman Eet dolman. Romans go
[7] 6:16	home. [laughter]
[8] 6:21	Of course, we are doing a series right
[9] 6:23	now, a Bible study on the book of re uh
[10] 6:25	Romans for our Monday period or our
[11] 6:29	Monday uh videos. So, we invite you to
[12] 6:31	have a listen to those after the live
[13] 6:34	stream. We want to thank you all for
[14] 6:35	joining us tonight. Um it's been another
[15] 6:38	exciting week. Uh, our channel business
[16] 6:42	is going to concern Reoquery of the
[17] 6:45	Dead, which
[18] 6:48	in Monday's mail got the outstanding
[19] 6:53	creator award medal. Okay, we'll got we
[20] 6:57	will move this up to the camera.
[21] 7:03	[laughter]
[22] 7:05	This is producers looking at me like I
[23] 7:06	got 10 heads.
[24] 7:08	It's got actually a neck strap so you
[25] 7:11	can wear it. So there it is. Me wearing
[26] 7:14	it. [laughter]
[27] 7:17	I won't bite it. Okay. [laughter]
[28] 7:21	Yes. So this one this one actually came
[29] 7:23	with a physical me medal. So that is
[30] 7:26	super cool. Not all book awards do. Some
[31] 7:29	are just reputation alone.
[32] 7:32	Uh you know just the thrill of winning
[33] 7:34	it. This one actually came with a medal.
[34] 7:36	And that's th those ones that come with
[35] 7:38	medals are super cool. Medals and
[36] 7:40	trophies. Those are those are the
[37] 7:41	coolest book contests. So, cuz then you
[38] 7:44	got something physical there to to show
[39] 7:46	say year after year. Okay. [laughter]
[40] 7:49	Gryffindor confirmed.
[41] 7:52	Hey, they would be really unhappy to
[42] 7:55	have me in Gryffindor. I'll just say
[43] 7:59	[laughter]
[44] 8:04	>> [laughter]
[45] 8:09	>> screenshot. Okay. Well, maybe
[46] 8:13	[laughter]
[47] 8:14	Ryan Cohen camp. No, he's Catholic.
[48] 8:18	Um, is red and orange a Catholic color?
[49] 8:24	Maybe. Maybe in Ireland. I don't know.
[50] 8:28	[laughter]
[51] 8:29	Okay. So, that's our channel business
[52] 8:31	for day. And uh if again that was uh the
[53] 8:35	uh book award that I got for uh Reoquery
[54] 8:37	of the Dead. Um if you haven't read this
[55] 8:40	already, please do so and leave a review
[56] 8:43	on Amazon and Goodreads. It really helps
[57] 8:45	us to leave uh for you guys to leave
[58] 8:47	book reviews. Uh we do have um uh we are
[59] 8:52	on the cusp of getting book three out.
[60] 8:56	So, book three is should be starting to
[61] 9:00	appear in stores for pre-order. Okay, so
[62] 9:04	this is seriously cool. Okay, so that's
[63] 9:08	the uh that's the channel business. Uh
[64] 9:11	we'll get to the rules here and then
[65] 9:13	start taking your questions.
[66] 9:16	Uh the rules are same as always. Super
[67] 9:18	chats have priority.
[68] 9:20	Uh we take non-sup chat questions, but
[69] 9:23	you have to preference it with a Q and a
[70] 9:24	colon. You don't preface it with that,
[71] 9:26	we don't see it.
[72] 9:28	Uh,
[73] 9:30	if you post non-s super chats, only post
[74] 9:32	your question once. Posting it multiple
[75] 9:35	times will lead for that to question to
[76] 9:37	be disqualified for the night.
[77] 9:40	If it's a verse, if it's something to do
[78] 9:42	with the Bible, we do need context. So,
[79] 9:45	we will need what book it's from,
[80] 9:46	chapter verse. That just helps us find
[81] 9:49	things quicker.
[82] 9:51	We also ask that uh if you do sponsor a
[83] 9:54	super chat, you copy the question into
[84] 9:56	the super chat so we don't have to go
[85] 9:58	hunting for it. That just makes life a
[86] 10:00	lot easier for us. And finally, we ask
[87] 10:03	that if you when you post your question,
[88] 10:05	only one question per chat. No question
[89] 10:08	stacking. It's just not fair to to
[90] 10:10	others. So, with that said, let's get
