[0] 0:00	[Music] foreign
[1] 0:05	[Music]
[2] 0:20	[Music]
[3] 0:33	[Music]
[4] 0:40	foreign [Music]
[5] 1:12	foreign [Music]
[6] 1:32	hello and welcome to our live stream take to cuneiform tablets and call me in
[7] 1:37	the morning we have had a lot of technical issues today and a lot of it
[8] 1:44	is from things that were really out of control uh we discovered that our stream our um
[9] 1:52	stream key got reset we did not do this somebody else has
[10] 1:58	done this so uh we don't know what's
[11] 2:03	um what hankiness is going on here but that prevented us from automatically connecting like we normally do
[12] 2:10	so uh that was that was interesting that was a surprise
[13] 2:17	uh our widget settings are also not working for some reason so we're just we
[14] 2:24	do see that there are some some technical issues today that we don't normally experience
[15] 2:30	and I think that is kind of an issue here so I am going to
[16] 2:36	need to see if I
[17] 2:47	all right yeah YouTube's made some changes here that are not fun okay there we go all
[18] 2:54	right we're we're back live yeah YouTube has made some changes to its interface
[19] 2:59	and those those changes are they didn't let us know they did not let
[20] 3:06	us know so things happen and that's the problem with live broadcasting all right so
[21] 3:13	anyway we're glad you're here tonight we want to thank everyone who has given us Super Chat so far we have been
[22] 3:20	thoroughly blessed tonight in a way that we couldn't even have imagined and given um given the week we've had
[23] 3:28	this week we're so appreciate the support and we'll feel so blessed that our community has rallied around us we
[24] 3:35	want to thank you all for being here tonight and for just supporting the channel and supporting the work we're
[25] 3:41	doing we just feel so so blessed and
[26] 3:48	we are faced with both you know one of those those the things about blessings is you have an abundance and tonight we
[27] 3:54	have an abundance of questions and super chats so
[28] 3:59	we're still gonna try to stay within the four hour I know three hour we try to be three
[29] 4:05	hour format we're really a four hour format okay let's let's be honest we're no
[30] 4:12	longer on a three-hour format we're a four-hour format however to prevent this to be a from a
[31] 4:18	six hour format we're gonna have to be really really brief with a lot of questions we are
[32] 4:24	starting with 23 uh super chess tonight
[33] 4:30	at I think oh sorry correction 25 super chats tonight
[34] 4:36	and we are uh uh we even have some uh non-super chess that are just so good
[35] 4:43	that I can't I just I just can't um pass them by
[36] 4:49	so uh we're just going to quickly go over the rules and then we're just gonna get right into
[37] 4:57	it and let's see I want to make sure I didn't miss any here either so I wanna
[38] 5:04	just check okay so that's where we left off make
[39] 5:10	sure I didn't lose anything here so because I had to reboot I'm sort of
[40] 5:16	starting a little bit from scratch here so let me make sure I've got everything I have can get okay I am one is falling
[41] 5:26	through the cracks here that I have to copy and paste over let me just capture
[42] 5:32	that now so I do not miss that
[43] 5:37	and then we'll get right into the questions okay so let me just do the
[44] 5:43	maintenance here again the whole
[45] 5:48	connection issue was an inconvenience
[46] 5:58	this will be just a moment please be patient
[47] 6:11	okay and
[48] 6:19	the for those who uh are not familiar with our our live streams here the
[49] 6:25	if the rules are same as always super Jets have priority if you want we but we
[50] 6:31	do answer questions from non-super chat uh that are not given by Super Chat we
[51] 6:37	ask in those particular cases that you um
[52] 6:43	uh that you put a q and a colon in front of the question so I know that it's directed to me we ask that you uh do the
[53] 6:50	question only once and
[54] 6:56	if it's about a language uh or a Bible verse tell me what language you think
[55] 7:01	it's in and what you think it means uh or if it's for a Bible verse tell me what book
[56] 7:07	chapter and verse it is so that I have some context to go on so I can look it up okay
[57] 7:14	because despite what everyone may think I don't have the entire Bible tattooed behind my eyelids so I do need a little
[58] 7:22	context sometimes all right so I think we got that Missing Super
[59] 7:28	Chat here so with that said
[60] 7:34	let's get into the questions because boy we've got a good set of questions tonight all right our first question and we'll
[61] 7:41	start with five non-super chats tonight uh the camel leopard
[62] 7:47	he asks can hit him from last week since you have had times to study now yes I did
[63] 7:52	are The Sermon on the Mount and the sermon on the plane Luke 6 synonymous
[64] 7:57	they're similar I did look into this they are very very similar
[65] 8:02	but they're different I think what we're seeing with say the
[66] 8:07	terminal amount and sermon on the plane is
[67] 8:13	two different two different ideas
[68] 8:22	basically using the same precepts okay
[69] 8:27	so basically the sermon on the plane is basically you should follow the law
[70] 8:34	okay basically as opposed to say The Sermon on the Mount which is
[71] 8:41	the law is so arduous and it basically uh Christ in
[72] 8:49	The Sermon on the Mount amplifies upon the law basically raises the bar
[73] 8:54	to a point where nobody can follow it so they're there's there they are very
[74] 9:03	similar I will give that and and it might have been even that
[75] 9:10	Christ had used The Sermon on the Mount
[76] 9:15	in very similar ways but sort of tweaked it just slightly for
[77] 9:23	tomorrow playing versus Sermon on the Mount
[78] 9:28	it does seem that in the one case that The Sermon on the Mount is they're very
[79] 9:34	very similar for example the the number of Beatitudes like for example the sermon on the plane has four Beatitudes
[80] 9:42	uh versus the serum amount that has nine Beatitudes so there does seem to be a
[81] 9:49	duplication of material basically material is being reused from one sermon to the other but the goals of the
[82] 9:56	sermons two sermons seem to be different very very different
[83] 10:01	the servant on the plane seems to be to drive people towards living Torah
[84] 10:07	basically you are living you are supposed to be living according to the
[85] 10:13	law of Moses in its intent not necessarily in every John until but
[86] 10:18	in its attempt whereas The Sermon on the Mount seems to be driving uh Jesus is using The Sermon
[87] 10:24	on the Mount to drive people more towards that yeah you can try to live Torah but the
[88] 10:31	standard of Torah is so high that no one can make it
[89] 10:36	because nobody can make it you need God's grace so there are two sermons constructed in
[90] 10:44	very very similar ways with different didactic outcomes
[91] 10:50	so I I hope that answered your question it's a great great question thank you very much for the uh for the
[92] 10:56	question and I'm glad we had the chance to actually look into this and address it again this week so
[93] 11:02	I hope that answers your question right our next question here is from the
[94] 11:09	Penn Hills theologian how do we know the hicksauce introduced The Chariot into Egypt I heard someone
[95] 11:15	questioned this a few days ago all right a few reasons why now there is some scant fragmentary
[96] 11:22	evidence that there were a couple of Chariots introduced into the Old Kingdom but they
[97] 11:29	didn't seem to take off part of the problem is that
[98] 11:35	when we see say Egyptian Warfare scenes now we've got a number of warfare scenes
[99] 11:41	from ancient Egypt they didn't use chariots according to Warfare scenes especially when we look
[100] 11:47	at say the Warfare scenes of the Middle Kingdom and we've got a lot of warfare scenes from the Middle Kingdom we've got
[101] 11:54	a lot of scenes of people training for war conducting War and those scenes never include chariots
[102] 12:03	they're all infantry they're all Siege equipment there's a lot of really
[103] 12:08	sophisticated Warfare scenes from the Middle Kingdom there's no
[104] 12:14	absolutely no evidence of cherry tree there we also when we look at say horse
[105] 12:22	burials horse burials are super important when it comes to this
[106] 12:27	because the native Egyptian horse is a frail being it's frail it doesn't
[107] 12:34	have a strong back it's inappropriate for pulling chariots or riding
[108] 12:43	so what we have for example with the hick sauce is the hexa seem to have imported
[109] 12:51	uh chariots or sorry um horses from the Levant
[110] 12:57	read them with a native with the native horse and created a more robust horse
[111] 13:03	at the same time too they're importing chariots from the northern Levant
[112] 13:11	so they're bringing that technology in and it's with the hick sauce that we see
[113] 13:18	the first sort of evidence of of horse burials the bit and bridle
[114] 13:25	and basically smaller components of Chariots
[115] 13:31	so what we're seeing here is we're going from a state of evidence where the
[116] 13:36	pictorial evidence of each of the Egyptians is there's no chariots there's just infantry two archaeological
[117] 13:44	evidence from the hicksos that there are chariots and that there's this program of
[118] 13:50	developing chariots it's probably why the hexas were so
[119] 13:56	successful to be honest is because they had that mobile archery platform
[120] 14:02	so the the occurrence of The Chariot in Egypt is
[121] 14:08	very very well documented and it's really starting with the hixels that we start seeing the Chariot being
[122] 14:16	used ubiquitously in Egypt so we're going from a state of of having
[123] 14:22	showing the positive evidence of warfare whereas just infantry to the positive
[124] 14:28	evidence to where there's both infantry and charity
[125] 14:33	so it's very very clear that the Kerry was introduced around 1666 or
[126] 14:41	maybe a little later but it's around that point in time so I I hope that answers your question
[127] 14:46	thank you very much for the question very much appreciated
[128] 14:56	okay uh next question is from Ramada driver and thank by the way thank you very much for your support your
[129] 15:03	um your uh interaction with my critics has been
[130] 15:10	very very much appreciated and I so so I'm so grateful for that because you point out some excellent excellent
[131] 15:16	points especially regarding the dictionary fallacy that I think I think that was a very very well observed
[132] 15:23	okay uh yeah and this is gonna be a quick question unfortunately because this is
[133] 15:28	very simple answer I really want to more know more uh want more and more information about these tablets
[134] 15:35	um I did read the peer-reviewed article today fascinating uh Dr Falk is there anything in the
[135] 15:42	tablets that has the Amorite word for Virgin unfortunately not uh it isn't a huge tablet it is it is a
[136] 15:50	small tablet it but has a lot of stuff on it I mean it's a very condensed
[137] 15:55	tablet for what it is but unfortunately it doesn't have a complete dictionary set and unfortunately virgin is not in
[138] 16:02	it so unfortunately I'm gonna have to say uh no it doesn't have that word
[139] 16:07	but what it does have is super exciting I mean we are going to get a lot out of
[140] 16:13	this it's got a several verb forms it's got several syntactical uh constructions
[141] 16:21	boy it's an exciting piece of text it is an exciting exciting piece of text but unfortunately it does not uncover
[142] 16:27	version nevertheless I want to thank you very much for your support and thank you for this question it's a great question
[143] 16:32	but I and I want to give you an answer for this so thank you very much for the question
[144] 16:42	our next question here is from Chow Yi thank you very much for this uh question
[145] 16:48	how historical do you think King agvar the fist corresponds with Jesus's okay King ad for the fifth was a king that
[146] 16:58	reigned from roughly the first century BC until about 50 A.D
[147] 17:03	and there's an apocryphal letter that basically has him corresponding with Jesus
[148] 17:10	now scholars in general do not think that this is a credible letter
[149] 17:18	and uh I was sort of conf concur with that
[150] 17:23	opinion now frankly here's one of the things about a preteristics these things can change on a dime
[151] 17:32	you know I remember back when people were saying that Thomas's trip to India
[152] 17:40	was was so outlandish and it it had
[153] 17:46	talked about two kings of India that nobody had ever heard of so it had to be apocal
[154] 17:53	and then archaeologists pulled out two coins with the names of those kings and it was just like oh maybe that this this
[155] 18:00	account of Thomas isn't a popular maybe it's the most credible so as I said these things can change on
[156] 18:07	a complete dime but right now
[157] 18:13	what we know of the um the at least the provenance of uh
[158] 18:21	uh abgar the Fifth's letters and say
[159] 18:26	the timing of all this it seems improbable and that's where we'll leave
[160] 18:32	it I won't say it's impossible I won't say but it does seem improbable that his
[161] 18:37	particular correspondence is um
[162] 18:42	basically been manufactured now I think his successors were definitely
[163] 18:50	Christian and I definitely think his successors were followers of Jesus Christ
