[0] 1:24	Heat. Heat.
[1] 5:43	>> [music]
[2] 5:46	>> Hello and welcome to this our 271st live
[3] 5:50	stream. All your reaqueries are mine.
[4] 5:53	[laughter]
[5] 5:57	Uh our channel business tonight is uh
[6] 6:00	going to be over basically, you know, we
[7] 6:03	uh released Reoquery of the Dead as an
[8] 6:06	free audio book on YouTube.
[9] 6:10	So if you want to if you're into
[10] 6:12	audiobooks and you love a good sci-fi
[11] 6:15	mystery, you can now listen to Relic
[12] 6:18	Burberry of the Dead for free on
[13] 6:20	YouTube,
[14] 6:22	which is super cool.
[15] 6:25	Uh we also want to remind you that on
[16] 6:27	August 12th, that's a Wednesday, we will
[17] 6:31	be doing our
[18] 6:33	uh our basically one month after debut
[19] 6:37	uh live stream of Lord of Steel and Sky.
[20] 6:40	Now on that special live stream what
[21] 6:43	we'll be doing is we will be
[22] 6:47	um discussing anything regarding the war
[23] 6:50	of the gods book series publishing
[24] 6:54	writing anything related to that. What
[25] 6:56	we won't be taking on that live stream
[26] 6:58	is ancient Egypt in the Bible questions
[27] 7:01	or questions that apply ancient Egypt in
[28] 7:03	the Bible. And we'll be pretty strict
[29] 7:04	about that because people are going to
[30] 7:06	come in and they're going to go, "Oh,
[31] 7:08	can you tell me about this pharaoh?" Uh,
[32] 7:10	no, not in that live stream. You have to
[33] 7:12	wait till Friday for that one. Okay. So,
[34] 7:18	>> yes. And there's there there's there's a
[35] 7:19	lot more Fridays than books live stream.
[36] 7:22	So, [laughter]
[37] 7:23	we're just going to take book questions
[38] 7:25	for that. So,
[39] 7:29	uh, with that said, I think that's all
[40] 7:31	the channel business. Uh, let's going
[41] 7:34	Oh, and the other thing about that
[42] 7:35	special live stream is you can call in.
[43] 7:38	We don't do that very often. So if you
[44] 7:42	want to pose your question face to face,
[45] 7:44	you can do so. We'll be allowing it for
[46] 7:47	that particular live stream. All right.
[47] 7:50	Channel rules.
[48] 7:52	Uh super chats have priority. That's
[49] 7:55	true across all YouTube live streams. Uh
[50] 7:59	nons super chat questions have to begin
[51] 8:01	with a Q and a colon. If there's no Q
[52] 8:04	and a colon, we don't see it. It might
[53] 8:05	as well not exist. With that said,
[54] 8:09	we don't guarantee we take your question
[55] 8:11	if if it's a non-super chat. Uh it just
[56] 8:14	comes to our attention. We see it.
[57] 8:15	That's a that's all we guarantee. If we
[58] 8:18	decide not to take it for the night for
[59] 8:20	whatever reason, maybe it's out of my
[60] 8:22	wheelhouse, maybe I'm not interested in
[61] 8:24	it, maybe it requires subsequent uh um
[62] 8:29	research or it's too broad, we might not
[63] 8:31	take it.
[64] 8:33	Okay. Um, only post your non-s super
[65] 8:36	chat questions once. Question stack or
[66] 8:39	spamming will disqualify your question
[67] 8:40	for the night. We're hard and fast on
[68] 8:42	that rule.
[69] 8:44	If it's something from the Bible, we
[70] 8:46	need some context. So, you have to give
[71] 8:49	us the uh what book it's from, what
[72] 8:52	chapter, and what verse. Uh, that's just
[73] 8:55	saves us a lot of time.
[74] 8:58	You may sponsor a non-s super chat, but
[75] 9:01	we ask that you copy the question into
[76] 9:03	the super chat so we don't have to go
[77] 9:05	hunting for it. Just saves us time. And
[78] 9:07	finally, one question per chat. No
[79] 9:09	question um stacking question stacking
[80] 9:12	isn't fair to anyone. And we will in
[81] 9:14	that event, super chat or non-super
